index,original,replacement,answers,comment,split,lesson,part
2,ありがとう,有難う,,a (Usually written using kana alone),,,
3,ありがとうございます,有難う御座います,,a (Usually written using kana alone),,,
5,いただきます,頂きます,,a (Usually written using kana alone),,,
6,いってきます,行ってきます,,,,,
7,いってらっしゃい,行ってらっしゃい,,,,,
8,おかえり（なさい）,お帰り（なさい）,"おかえり,おかえりなさい",,,,
9,おはよう,お早う,,a (Usually written using kana alone),,,
10,おはようございます,お早う御座います,,a (Usually written using kana alone),,,
11,おやすみ（なさい）,お休み（なさい）,"おやすみ,おやすみなさい",,,,
12,ごちそうさま（でした）,ご馳走様（でした）,"ごちそうさま,ごちそうさまでした",,,,
13,こんにちは,今日は,,a (Usually written using kana alone),,,
14,こんばんは,今晩は,,a (Usually written using kana alone),,,
15,さようなら,左様なら,,a (Usually written using kana alone),,,
16,すみません,済みません,,a (Usually written using kana alone),,,
17,ただいま,只今,,a (Usually written using kana alone),,,
19,はじめまして,初めまして,,a (Usually written using kana alone),,,
117,あそこ,彼処,,a (Usually written using kana alone),,,
118,あの,彼の,,a (Usually written using kana alone),,,
119,あれ,彼 (not かれ),,a (Usually written using kana alone),,,
120,いくら,幾ら,,a (Usually written using kana alone),,,
124,おいしい,美味しい,,a (Usually written using kana alone),,,
125,おねがいします（～を）,お願いします（～を）,,,,,
127,かばん,鞄,,a (Usually written using kana alone),,,
129,ください（～を）,下さい（～を）,,a (Usually written using kana alone),,,
131,ここ,此処,,a (Usually written using kana alone),,,
132,この,此の,,a (Usually written using kana alone),,,
133,これ,此れ,,a (Usually written using kana alone),,,
142,そこ,其処,,a (Usually written using kana alone),,,
143,その,其の,,a (Usually written using kana alone),,,
144,それ,其れ,,a (Usually written using kana alone),,,
146,だれ,誰,,a (Usually written using kana alone),,,
152,どこ,何処,,a (Usually written using kana alone),,,
154,どの,何の,,a (Usually written using kana alone),,,
155,どれ,何れ,,a (Usually written using kana alone),,,
156,とんかつ,豚カツ,,a (Usually written using kana alone),,,
165,いす,椅子,,,,,
178,あまり ＋ negative,余り ＋ negative,,a (Usually written using kana alone),,,
179,いい,良い,,a (Commonly written using kana alone),,,
182,いつ,何時 (not なんじ),いつ,a (Usually written using kana alone),y,,
182,いつ,何時 (not いつ),なんじ,Wwhat time; which hour,,,
183,うち,家 (not いえ),,a (Usually written using kana alone),,,
204,たいてい,大抵,,a (Usually written using kana alone),,,
207,ちょっと,一寸,,a (Usually written using kana alone),,,
228,よく,良く,,a (Usually written using kana alone),,,
232,あなた,貴方,,a (Usually written using kana alone),,,
233,ある,有る,,a (Usually written using kana alone),,,
237,いる,居る,,W(a person) is in . . . ; stays at . . . (Usually written using kana alone),y,,ru-v.
