Question,Answers,Comment,Instructions,Render as
一,"いち,いっ,ひと","(L3) one, one radical (no.1)
kunyomi: ひと-, ひと.つ
onyomi: イチ, イツ",Type the reading!,Image
二,"に,ふた","(L3) two, two radical (no. 7)
kunyomi: ふた, ふた.つ, ふたたび
onyomi: ニ, ジ",Type the reading!,Image
三,"さん,みっ","(L3) three
kunyomi: み, み.つ, みっ.つ
onyomi: サン, ゾウ",Type the reading!,Image
四,"し,よん,よ,よっ","(L3) four
kunyomi: よ, よ.つ, よっ.つ, よん
onyomi: シ",Type the reading!,Image
五,"ご,いつ","(L3) five
kunyomi: いつ, いつ.つ
onyomi: ゴ",Type the reading!,Image
六,"ろく,ろっ,むっ","(L3) six
kunyomi: む, む.つ, むっ.つ, むい
onyomi: ロク, リク",Type the reading!,Image
七,"しち,なな","(L3) seven
kunyomi: なな, なな.つ, なの
onyomi: シチ",Type the reading!,Image
八,"はち,はっ,やっ","(L3) eight, eight radical (no. 12)
kunyomi: や, や.つ, やっ.つ, よう
onyomi: ハチ, ハツ",Type the reading!,Image
九,"きゅう,く,ここの","(L3) nine
kunyomi: ここの, ここの.つ
onyomi: キュウ, ク",Type the reading!,Image
十,"じゅう,じゅっ,じっ,とお","(L3) ten
kunyomi: とお, と, そ
onyomi: ジュウ, ジッ, ジュッ",Type the reading!,Image
百,"ひゃく,びゃく,ぴゃく","(L3) hundred
kunyomi: もも
onyomi: ヒャク, ビャク",Type the reading!,Image
千,"せん,ぜん","(L3) thousand
kunyomi: ち
onyomi: セン",Type the reading!,Image
万,まん,"(L3) ten thousand, 10,000
kunyomi: よろず
onyomi: マン, バン",Type the reading!,Image
円,"えん,まる","(L3) circle, yen, round
kunyomi: まる.い, まる, まど, まど.か, まろ.やか
onyomi: エン",Type the reading!,Image
時,"じ,とき","(L3) time, hour
kunyomi: とき, -どき
onyomi: ジ",Type the reading!,Image
日,"に,にち,にっ,び,ひ,か","(L4) day, sun, Japan, counter for days
kunyomi: ひ, -び, -か
onyomi: ニチ, ジツ",Type the reading!,Image
本,"ほん,もと","(L4) book, present, main, origin, true, real, counter for long cylindrical things
kunyomi: もと
onyomi: ホン",Type the reading!,Image
人,"じん,にん,ひと","(L4) person
kunyomi: ひと, -り, -と
onyomi: ジン, ニン",Type the reading!,Image
月,"げつ,がつ,つき","(L4) month, moon
kunyomi: つき
onyomi: ゲツ, ガツ",Type the reading!,Image
火,"か,ひ,び","(L4) fire
kunyomi: ひ, -び, ほ-
onyomi: カ",Type the reading!,Image
水,"すい,みず","(L4) water
kunyomi: みず, みず-
onyomi: スイ",Type the reading!,Image
木,"もく,き","(L4) tree, wood
kunyomi: き, こ-
onyomi: ボク, モク",Type the reading!,Image
金,"きん,かね","(L4) gold
kunyomi: かね, かな-, -がね
onyomi: キン, コン, ゴン",Type the reading!,Image
土,"ど,と,つち","(L4) soil, earth, ground, Turkey
kunyomi: つち
onyomi: ド, ト",Type the reading!,Image
曜,よう,"(L4) weekday
kunyomi: 
onyomi: ヨウ",Type the reading!,Image
上,"じょう,うえ,のぼ","(L4) above, up
kunyomi: うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る
onyomi: ジョウ, ショウ, シャン",Type the reading!,Image
下,"か,した,くだ","(L4) below, down, descend, give, low, inferior
kunyomi: した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる
onyomi: カ, ゲ",Type the reading!,Image
中,"ちゅう,じゅう,なか","(L4) in, inside, middle, mean, center
kunyomi: なか, うち, あた.る
onyomi: チュウ",Type the reading!,Image
半,はん,"(L4) half, middle, odd number, semi-, part-
kunyomi: なか.ば
onyomi: ハン",Type the reading!,Image
山,"さん,やま","(L5) mountain
kunyomi: やま
onyomi: サン, セン",Type the reading!,Image
川,"かわ,がわ","(L5) stream, river, river or three-stroke river radical (no. 47)
kunyomi: かわ
onyomi: セン",Type the reading!,Image
元,"げん,がん,もと","(L5) beginning, former time, origin
kunyomi: もと
onyomi: ゲン, ガン",Type the reading!,Image
気,き,"(L5) spirit, mind, air, atmosphere, mood
kunyomi: き
onyomi: キ, ケ",Type the reading!,Image
天,てん,"(L5) heavens, sky, imperial
kunyomi: あまつ, あめ, あま-
onyomi: テン",Type the reading!,Image
私,"し,わたし","(L5) private, I, me
kunyomi: わたくし, わたし
onyomi: シ",Type the reading!,Image
今,"こん,いま","(L5) now
kunyomi: いま
onyomi: コン, キン",Type the reading!,Image
田,"た,だ","(L5) rice field, rice paddy
kunyomi: た
onyomi: デン",Type the reading!,Image
女,"じょ,おんな","(L5) woman, female
kunyomi: おんな, め
onyomi: ジョ, ニョ, ニョウ",Type the reading!,Image
男,"だん,おとこ","(L5) male
kunyomi: おとこ, お
onyomi: ダン, ナン",Type the reading!,Image
見,"けん,み","(L5) see, hopes, chances, idea, opinion, look at, visible
kunyomi: み.る, み.える, み.せる
onyomi: ケン",Type the reading!,Image
行,"こう,ぎょう,い","(L5) going, journey, carry out, conduct, act, line, row, bank
kunyomi: い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう
onyomi: コウ, ギョウ, アン",Type the reading!,Image
食,"しょく,た","(L5) eat, food
kunyomi: く.う, く.らう, た.べる, は.む
onyomi: ショク, ジキ",Type the reading!,Image
飲,"いん,の","(L5) drink, smoke, take
kunyomi: の.む, -の.み
onyomi: イン, オン",Type the reading!,Image
東,"とう,ひがし","(L6) east
kunyomi: ひがし
onyomi: トウ",Type the reading!,Image
西,"せい,さい,にし","(L6) west, Spain
kunyomi: にし
onyomi: セイ, サイ, ス",Type the reading!,Image
南,"なん,みなみ","(L6) south
kunyomi: みなみ
onyomi: ナン, ナ",Type the reading!,Image
北,"ほく,ほっ,きた","(L6) north
kunyomi: きた
onyomi: ホク",Type the reading!,Image
口,"こう,ぐち,くち","(L6) mouth
kunyomi: くち
onyomi: コウ, ク",Type the reading!,Image
出,"しゅっ,しゅつ,で,だ","(L6) exit, leave, go out, come out, put out, protrude
kunyomi: で.る, -で, だ.す, -だ.す, い.でる, い.だす
onyomi: シュツ, スイ",Type the reading!,Image
右,"う,ゆう,みぎ","(L6) right
kunyomi: みぎ
onyomi: ウ, ユウ",Type the reading!,Image
左,"さ,ひだり","(L6) left
kunyomi: ひだり
onyomi: サ, シャ",Type the reading!,Image
分,"ふん,ぷん,ぶん,わ","(L6) part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100
kunyomi: わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ
onyomi: ブン, フン, ブ",Type the reading!,Image
先,"せん,さき","(L6) before, ahead, previous, future, precedence
kunyomi: さき, ま.ず
onyomi: セン",Type the reading!,Image
生,"せい,しょう,う","(L6) life, genuine, birth
kunyomi: い.きる, い.かす, い.ける, う.まれる, うま.れる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-, な.る, な.す, む.す, -う
onyomi: セイ, ショウ",Type the reading!,Image
大,"だい,たい,おお","(L6) large, big
kunyomi: おお-, おお.きい, -おお.いに
onyomi: ダイ, タイ",Type the reading!,Image
学,"がく,がっ,まな","(L6) study, learning, science
kunyomi: まな.ぶ
onyomi: ガク",Type the reading!,Image
外,"がい,そと","(L6) outside
kunyomi: そと, ほか, はず.す, はず.れる, と-
onyomi: ガイ, ゲ",Type the reading!,Image
国,"こく,ごく,こっ,くに","(L6) country
kunyomi: くに
onyomi: コク",Type the reading!,Image
京,きょう,"(L7) capital, 10**16
kunyomi: みやこ
onyomi: キョウ, ケイ, キン",Type the reading!,Image
子,"し,こ","(L7) child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac
kunyomi: こ, -こ, ね
onyomi: シ, ス, ツ",Type the reading!,Image
小,"しょう,ちい","(L7) little, small
kunyomi: ちい.さい, こ-, お-, さ-
onyomi: ショウ",Type the reading!,Image
会,"かい,あ","(L7) meeting, meet, party, association, interview, join
kunyomi: あ.う, あ.わせる, あつ.まる
onyomi: カイ, エ",Type the reading!,Image
社,"しゃ,じゃ","(L7) company, firm, office, association, shrine
kunyomi: やしろ
onyomi: シャ",Type the reading!,Image
父,"ふ,ちち,とう","(L7) father
kunyomi: ちち
onyomi: フ",Type the reading!,Image
母,"ぼ,はは,かあ","(L7) mother
kunyomi: はは, も
onyomi: ボ",Type the reading!,Image
高,"こう,たか","(L7) tall, high, expensive
kunyomi: たか.い, たか, -だか, たか.まる, たか.める
onyomi: コウ",Type the reading!,Image
校,こう,"(L7) exam, school, printing, proof, correction
kunyomi: 
onyomi: コウ, キョウ",Type the reading!,Image
毎,まい,"(L7) every
kunyomi: ごと, -ごと.に
onyomi: マイ",Type the reading!,Image
語,ご,"(L7) word, speech, language
kunyomi: かた.る, かた.らう
onyomi: ゴ",Type the reading!,Image
文,ぶん,"(L7) sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)
kunyomi: ふみ, あや
onyomi: ブン, モン",Type the reading!,Image
帰,"き,かえ","(L7) homecoming, arrive at, lead to, result in
kunyomi: かえ.る, かえ.す, おく.る, とつ.ぐ
onyomi: キ",Type the reading!,Image
入,"にゅう,はい,い,いり","(L7) enter, insert
kunyomi: い.る, -い.る, -い.り, い.れる, -い.れ, はい.る
onyomi: ニュウ, ジュ",Type the reading!,Image
員,いん,"(L8) employee, member, number, the one in charge
kunyomi: 
onyomi: イン",Type the reading!,Image
新,"しん,あたら","(L8) new
kunyomi: あたら.しい, あら.た, あら-, にい-
onyomi: シン",Type the reading!,Image
聞,"ぶん,き","(L8) hear, ask, listen
kunyomi: き.く, き.こえる
onyomi: ブン, モン",Type the reading!,Image
作,"さく,つく","(L8) make, production, prepare, build
kunyomi: つく.る, つく.り, -づく.り
onyomi: サク, サ",Type the reading!,Image
仕,"し,つか","(L8) attend, doing, official, serve
kunyomi: つか.える
onyomi: シ, ジ",Type the reading!,Image
事,"じ,ごと,こと","(L8) matter, thing, fact, business, reason, possibly
kunyomi: こと, つか.う, つか.える
onyomi: ジ, ズ",Type the reading!,Image
電,でん,"(L8) electricity
kunyomi: 
onyomi: デン",Type the reading!,Image
車,"しゃ,くるま","(L8) car
kunyomi: くるま
onyomi: シャ",Type the reading!,Image
休,"きゅう,やす","(L8) rest, day off, retire, sleep
kunyomi: やす.む, やす.まる, やす.める
onyomi: キュウ",Type the reading!,Image
言,"げん,い,こと","(L8) say, word
kunyomi: い.う, こと
onyomi: ゲン, ゴン",Type the reading!,Image
読,"どく,よ","(L8) read
kunyomi: よ.む, -よ.み
onyomi: ドク, トク, トウ",Type the reading!,Image
思,"し,おも","(L8) think
kunyomi: おも.う, おもえら.く, おぼ.す
onyomi: シ",Type the reading!,Image
次,"じ,つぎ","(L8) next, order, sequence
kunyomi: つ.ぐ, つぎ
onyomi: ジ, シ",Type the reading!,Image
