Question,Answers,Comment,Instructions,Render as
ありがとう,ありがとう,(会G) [exp.] Thank you.,Type the reading!,Image
ありがとうございます,ありがとうございます,(会G) [exp.] Thank you. (polite),Type the reading!,Image
いいえ,いいえ,(会G) [exp.] No.; Not at all.,Type the reading!,Image
いただきます,いただきます,(会G) [exp.] Thank you for the meal. (before eating),Type the reading!,Image
いってきます,いってきます,(会G) [exp.] I’ll go and come back.,Type the reading!,Image
いってらっしゃい,いってらっしゃい,(会G) [exp.] Please go and come back.,Type the reading!,Image
おかえり（なさい）,おかえり（なさい）,(会G) [exp.] Welcome home.,Type the reading!,Image
おはよう,おはよう,(会G) [exp.] Good morning.,Type the reading!,Image
おはようございます,おはようございます,(会G) [exp.] Good morning. (polite),Type the reading!,Image
おやすみ（なさい）,おやすみ（なさい）,(会G) [exp.] Good night.,Type the reading!,Image
ごちそうさま（でした）,ごちそうさま（でした）,(会G) [exp.] Thank you for the meal. (after eating),Type the reading!,Image
こんにちは,こんにちは,(会G) [exp.] Good afternoon.,Type the reading!,Image
こんばんは,こんばんは,(会G) [exp.] Good evening.,Type the reading!,Image
さようなら,さようなら,(会G) [exp.] Good-bye.,Type the reading!,Image
すみません,すみません,(会G) [exp.] Excuse me.;  I’m sorry.,Type the reading!,Image
ただいま,ただいま,(会G) [exp.] I’m home.,Type the reading!,Image
～です,～です,(会G) [exp.] I am . . . .,Type the reading!,Image
はじめまして,はじめまして,(会G) [exp.] How do you do ?,Type the reading!,Image
よろしくお願いします,よろしくおねがいします,(会G) [exp.] Nice to meet you.,Type the reading!,Image
アジア研究,アジアけんきゅう,(会L1) [n.] Asian studies,Type the reading!,Image
あのう,あのう,(会L1) [exp.] um . . .,Type the reading!,Image
アメリカ,アメリカ,(会L1) [n.] U.S.A.,Type the reading!,Image
イギリス,イギリス,"(会L1, 会L2) [n.] Britain",Type the reading!,Image
医者,いしゃ,"(会L1, 会L10) [n.] doctor",Type the reading!,Image
一時,いちじ,"(会L1, 会L1(e)) [n.] one o’clock",Type the reading!,Image
一年生,いちねんせい,(会L1) [n.] first-year student,Type the reading!,Image
一分,いっぷん,(会L1(e)) [n.] one minute,Type the reading!,Image
今,いま,(会L1) [adv.] now,Type the reading!,Image
妹,いもうと,"(会L1, 会L7) [n.] younger sister",Type the reading!,Image
インド,インド,(会L1) [n.] India,Type the reading!,Image
エジプト,エジプト,(会L1) [n.] Egypt,Type the reading!,Image
オーストラリア,オーストラリア,"(会L1, 会L11) [n.] Australia",Type the reading!,Image
お母さん,おかあさん,"(会L1, 会L2) [n.] mother",Type the reading!,Image
お父さん,おとうさん,"(会L1, 会L2) [n.] father",Type the reading!,Image
弟,おとうと,"(会L1, 会L7) [n.] younger brother",Type the reading!,Image
お兄さん,おにいさん,"(会L1, 会L7) [n.] older brother",Type the reading!,Image
お姉さん,おねえさん,"(会L1, 会L7) [n.] older sister",Type the reading!,Image
会社員,かいしゃいん,"(会L1, 会L8) [n.] office worker",Type the reading!,Image
学生,がくせい,(会L1) [n.] student,Type the reading!,Image
カナダ,カナダ,(会L1) [n.] Canada,Type the reading!,Image
韓国,かんこく,"(会L1, 会L2) [n.] Korea",Type the reading!,Image
看護師,かんごし,"(会L1, 会L11) [n.] nurse",Type the reading!,Image
九分,きゅうふん,(会L1(e)) [n.] nine minutes,Type the reading!,Image
九時,くじ,(会L1(e)) [n.] nine o’clock,Type the reading!,Image
経済,けいざい,"(会L1, 会L2) [n.] economics",Type the reading!,Image
～語,～ご,(会L1) [suf.] . . . language,Type the reading!,Image
